Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.61,symmetric,0.34866523127440513
75% Corpus,4,0.9099999999999999,0.01,0.35645363048520945
75% Corpus,4,0.9099999999999999,0.31,0.3057096357678416
75% Corpus,4,0.9099999999999999,0.61,0.33606423578656164
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.36091184446914437
75% Corpus,4,0.9099999999999999,symmetric,0.3077167710306091
75% Corpus,4,symmetric,0.01,0.3322068837943579
75% Corpus,4,symmetric,0.31,0.30033612654163244
75% Corpus,4,symmetric,0.61,0.31527806661790725
75% Corpus,4,symmetric,0.9099999999999999,0.3249234087484094
75% Corpus,4,symmetric,symmetric,0.30220335075200694
75% Corpus,4,asymmetric,0.01,0.3511122488188204
75% Corpus,4,asymmetric,0.31,0.436872820159385
75% Corpus,4,asymmetric,0.61,0.5358846555106914
75% Corpus,4,asymmetric,0.9099999999999999,0.5657480396413963
75% Corpus,4,asymmetric,symmetric,0.40693599065090375
75% Corpus,5,0.01,0.01,0.3597883723397985
75% Corpus,5,0.01,0.31,0.3271108358023791
75% Corpus,5,0.01,0.61,0.3119730163915202
75% Corpus,5,0.01,0.9099999999999999,0.34407538319727676
75% Corpus,5,0.01,symmetric,0.37139825490132383
75% Corpus,5,0.31,0.01,0.3557057618120063
75% Corpus,5,0.31,0.31,0.37289556336564156
75% Corpus,5,0.31,0.61,0.3922604691168061
75% Corpus,5,0.31,0.9099999999999999,0.3926408759687295
75% Corpus,5,0.31,symmetric,0.3672127220812691
75% Corpus,5,0.61,0.01,0.3770761514989173
75% Corpus,5,0.61,0.31,0.3671726722064206
75% Corpus,5,0.61,0.61,0.3771440701929972
75% Corpus,5,0.61,0.9099999999999999,0.3764256993072955
75% Corpus,5,0.61,symmetric,0.38418758909400347
75% Corpus,5,0.9099999999999999,0.01,0.38422381029596264
75% Corpus,5,0.9099999999999999,0.31,0.358956134865406
75% Corpus,5,0.9099999999999999,0.61,0.39073195644722747
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3780471211022726
75% Corpus,5,0.9099999999999999,symmetric,0.39378786192093623
75% Corpus,5,symmetric,0.01,0.36275670071937205
75% Corpus,5,symmetric,0.31,0.34366679919825793
75% Corpus,5,symmetric,0.61,0.3820077136404942
75% Corpus,5,symmetric,0.9099999999999999,0.3636114830687651
75% Corpus,5,symmetric,symmetric,0.35832184912252935
75% Corpus,5,asymmetric,0.01,0.42160394181226685
75% Corpus,5,asymmetric,0.31,0.41157814392505465
75% Corpus,5,asymmetric,0.61,0.4987405445925942
75% Corpus,5,asymmetric,0.9099999999999999,0.5783254866236618
75% Corpus,5,asymmetric,symmetric,0.4072048693493886
75% Corpus,6,0.01,0.01,0.32575066698452726
75% Corpus,6,0.01,0.31,0.3084493049874577
75% Corpus,6,0.01,0.61,0.30647078418900403
75% Corpus,6,0.01,0.9099999999999999,0.3215644432253229
75% Corpus,6,0.01,symmetric,0.31388353632712757
75% Corpus,6,0.31,0.01,0.3770144281559957
75% Corpus,6,0.31,0.31,0.3990002162196051
75% Corpus,6,0.31,0.61,0.42889745395048906
75% Corpus,6,0.31,0.9099999999999999,0.42643740084131715
75% Corpus,6,0.31,symmetric,0.3969919703527261
75% Corpus,6,0.61,0.01,0.38851535264188747
75% Corpus,6,0.61,0.31,0.3783270046761939
75% Corpus,6,0.61,0.61,0.4073613024269884
75% Corpus,6,0.61,0.9099999999999999,0.4152105201991696
75% Corpus,6,0.61,symmetric,0.37426418562797603
75% Corpus,6,0.9099999999999999,0.01,0.41622996036881665
75% Corpus,6,0.9099999999999999,0.31,0.3603000388365201
75% Corpus,6,0.9099999999999999,0.61,0.3630356365809548
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.35913861188571544
75% Corpus,6,0.9099999999999999,symmetric,0.38913514952054845
75% Corpus,6,symmetric,0.01,0.3542569199763888
75% Corpus,6,symmetric,0.31,0.3715848061851954
75% Corpus,6,symmetric,0.61,0.3635175705677291
75% Corpus,6,symmetric,0.9099999999999999,0.3378628546664495
75% Corpus,6,symmetric,symmetric,0.33986292235606674
75% Corpus,6,asymmetric,0.01,0.3860911627865409
75% Corpus,6,asymmetric,0.31,0.5099467124278703
75% Corpus,6,asymmetric,0.61,0.5187029200396972
75% Corpus,6,asymmetric,0.9099999999999999,0.4361816759612996
75% Corpus,6,asymmetric,symmetric,0.4854304650343084
75% Corpus,7,0.01,0.01,0.3642549759294149
75% Corpus,7,0.01,0.31,0.3710978214430954
75% Corpus,7,0.01,0.61,0.36565410803793474
75% Corpus,7,0.01,0.9099999999999999,0.41364900897047924
75% Corpus,7,0.01,symmetric,0.3609874569920247
75% Corpus,7,0.31,0.01,0.3988766347075271
75% Corpus,7,0.31,0.31,0.3994413434023977
75% Corpus,7,0.31,0.61,0.38756673141038733
75% Corpus,7,0.31,0.9099999999999999,0.4286225719823683
75% Corpus,7,0.31,symmetric,0.3919246536216194
75% Corpus,7,0.61,0.01,0.4229442166675366
75% Corpus,7,0.61,0.31,0.4047830406430019
75% Corpus,7,0.61,0.61,0.42718277117381126
75% Corpus,7,0.61,0.9099999999999999,0.4141462933359902
75% Corpus,7,0.61,symmetric,0.40776543065236465
75% Corpus,7,0.9099999999999999,0.01,0.40818148279813654
75% Corpus,7,0.9099999999999999,0.31,0.3736576592881575
75% Corpus,7,0.9099999999999999,0.61,0.3765107461532415
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3450534696858333
75% Corpus,7,0.9099999999999999,symmetric,0.4076500465697614
75% Corpus,7,symmetric,0.01,0.3911273363641549
75% Corpus,7,symmetric,0.31,0.3958082653179932
75% Corpus,7,symmetric,0.61,0.39134083965787686
75% Corpus,7,symmetric,0.9099999999999999,0.38878810625163185
75% Corpus,7,symmetric,symmetric,0.387834666537923
75% Corpus,7,asymmetric,0.01,0.40870665576634085
75% Corpus,7,asymmetric,0.31,0.500616572705168
75% Corpus,7,asymmetric,0.61,0.47140804253790086
75% Corpus,7,asymmetric,0.9099999999999999,0.5236235957096005
75% Corpus,7,asymmetric,symmetric,0.49407385653101393
100% Corpus,2,0.01,0.01,0.2367719643174499
100% Corpus,2,0.01,0.31,0.21346116168062199
100% Corpus,2,0.01,0.61,0.22226392140944937
100% Corpus,2,0.01,0.9099999999999999,0.22758760320445592
100% Corpus,2,0.01,symmetric,0.20689858000148914
100% Corpus,2,0.31,0.01,0.1879561440307759
100% Corpus,2,0.31,0.31,0.2688622120395897
100% Corpus,2,0.31,0.61,0.2179591949530445
100% Corpus,2,0.31,0.9099999999999999,0.22581986548885422
100% Corpus,2,0.31,symmetric,0.21237487082490883
100% Corpus,2,0.61,0.01,0.25140543365256063
100% Corpus,2,0.61,0.31,0.2820946648875742
100% Corpus,2,0.61,0.61,0.24143530667499136
100% Corpus,2,0.61,0.9099999999999999,0.20390943394607103
100% Corpus,2,0.61,symmetric,0.24245498496448747
100% Corpus,2,0.9099999999999999,0.01,0.3080666191688477
100% Corpus,2,0.9099999999999999,0.31,0.2888192134779728
100% Corpus,2,0.9099999999999999,0.61,0.2324023661909843
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2456960245079277
100% Corpus,2,0.9099999999999999,symmetric,0.2530625600511633
100% Corpus,2,symmetric,0.01,0.28473451970231495
100% Corpus,2,symmetric,0.31,0.22771494023358863
100% Corpus,2,symmetric,0.61,0.21626428461302855
100% Corpus,2,symmetric,0.9099999999999999,0.18776553162796145
100% Corpus,2,symmetric,symmetric,0.20510224407828204
100% Corpus,2,asymmetric,0.01,0.264066518414374
100% Corpus,2,asymmetric,0.31,0.3166087884116694
100% Corpus,2,asymmetric,0.61,0.5023471669931813
100% Corpus,2,asymmetric,0.9099999999999999,0.5018502837121597
100% Corpus,2,asymmetric,symmetric,0.4292189223868259
100% Corpus,3,0.01,0.01,0.3303423274639804
100% Corpus,3,0.01,0.31,0.30697334278279875
100% Corpus,3,0.01,0.61,0.2701965054922713
100% Corpus,3,0.01,0.9099999999999999,0.2412016201862827
100% Corpus,3,0.01,symmetric,0.32695293495329486
100% Corpus,3,0.31,0.01,0.33853851763019943
100% Corpus,3,0.31,0.31,0.33376625849961455
